|character|text|type|character_clean|gender
1044||"Carter is too emphatic and Easy waits for him to give more,
but instead he turns and gazes out again at the canyon."|stage direction||
1045|BAXTER|"I'll have Baxter write you out a
check."|speech|BAXTER|M
1046||"69.
70    CONTINUED:   (5)                                               70
EASY
(after a moment)"|unknown||
1047||"Mr. Carter, why'd you stop runnin'
for mayor?"|location||
1048||"CARTER
(terse)"|unknown||
1049||I'll have Baxter write you a check.|location||
1050||EASY|unknown||
1051||"Why is Matthew Teran looking for
her too?"|location||
1052||"CARTER
(with finality)"|unknown||
1053||Baxter will write you a check!!|location||
1054||"Easy takes him in and then holds out his hand.
EASY"|unknown||
1055||I'll take cash, Mr. Carter.|location||
1056||"Carter fumbles in his wallet, and too nervous to count the
money, shoves the wallet at Easy.
CARTER"|unknown||
1057||Take it all... Just take it all.|location||
1058||"Easy nods and strides out of the room.
71    OMIT                                                           71
A72   EXT. T. CARTER FOUNDATION - DAY                               A72
Easy walks to his car, gets in and drives away toward the
entrance.
EASY (V.O.)"|unknown||
1059||"So Albright was working for Matthew
Teran. And whatever Teran had on
Carter was strong stuff... too
strong even for Carter to go to the
police... But because Teran was
desperate to find the girl too,
that gave me the best hand. I had
seen her once, and if I played it
right, I'd see her again."|location||
1060||"72-75 OMIT                                                         72-75
70."|unknown||
1061||MONTAGE SEQUENCE:|stage direction||
1062||76   POOL HALL - THAT NIGHT                                           76|unknown||
1063||"Easy talks to the short, squat, suspicious woman who runs
the place. Through the smoke, other distrustful eyes fix on
him from pool tables and dark corners."|stage direction||
1064||"EASY (V.O.)
Everywhere I went was a familiar
place, but different because I was
asking about buying hijacked liquor
from the man nobody wanted to talk
about. Frank Green...
DISSOLVE TO:
77   NIGHTCLUB - NEXT NIGHT                                           77"|unknown||
1065||"Upscale, with a balcony. Billy Eckstine fronts the band.
Blacks and whites are dressed to impress, including Easy,
who leans into the bartender."|stage direction||
